"","Node","group","group_color"
"30","PATHWAY_FASYN_ELONG_PWY._fatty_acid_elongation____saturated","None","#c7c7c7"
"31","PATHWAY_FASYN_INITIAL_PWY._superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)","None","#c7c7c7"
"32","PATHWAY_FERMENTATION_PWY._mixed_acid_fermentation","Up_PDvHC","#aec7e8"
"33","PATHWAY_FOLSYN_PWY._superpathway_of_tetrahydrofolate_biosynthesis_and_salvage","None","#c7c7c7"
"34","PATHWAY_FUC_RHAMCAT_PWY._superpathway_of_fucose_and_rhamnose_degradation","Up_PDvBoth","#98df8a"
"35","PATHWAY_FUCCAT_PWY._fucose_degradation","None","#c7c7c7"
"36","PATHWAY_GALACT_GLUCUROCAT_PWY._superpathway_of_hexuronide_and_hexuronate_degradation","Down_PDvBoth","#2ca02c"
"37","PATHWAY_GALACTARDEG_PWY._D_galactarate_degradation_I","Up_PDvHC","#aec7e8"
"38","PATHWAY_GALACTUROCAT_PWY._D_galacturonate_degradation_I","None","#c7c7c7"
"39","PATHWAY_GLCMANNANAUT_PWY._superpathway_of_N_acetylglucosamine,_N_acetylmannosamine_and_N_acetylneuraminate_degradation","None","#c7c7c7"
"40","PATHWAY_GLUCARDEG_PWY._D_glucarate_degradation_I","Up_PDvHC","#aec7e8"
"41","PATHWAY_GLUCARGALACTSUPER_PWY._superpathway_of_D_glucarate_and_D_galactarate_degradation","Up_PDvHC","#aec7e8"
"42","PATHWAY_GLUCONEO_PWY._gluconeogenesis_I","None","#c7c7c7"
"43","PATHWAY_GLUCOSE1PMETAB_PWY._glucose_and_glucose_1_phosphate_degradation","Up_PDvBoth","#98df8a"
"44","PATHWAY_GLUCUROCAT_PWY._superpathway_of_&beta;_D_glucuronide_and_D_glucuronate_degradation","None","#c7c7c7"
"45","PATHWAY_GLUDEG_I_PWY._GABA_shunt","Down_PDvHC","#1f77b4"
"46","PATHWAY_GLUTORN_PWY._L_ornithine_biosynthesis","Up_PDvPC","#ffbb78"
"47","PATHWAY_GLYCOCAT_PWY._glycogen_degradation_I_(bacterial)","None","#c7c7c7"
"48","PATHWAY_GLYCOGENSYNTH_PWY._glycogen_biosynthesis_I_(from_ADP_D_Glucose)","None","#c7c7c7"
"49","PATHWAY_GLYCOL_GLYOXDEG_PWY._superpathway_of_glycol_metabolism_and_degradation","Up_PDvBoth","#98df8a"
"50","PATHWAY_GLYCOLYSIS_E_D._superpathway_of_glycolysis_and_Entner_Doudoroff","Up_PDvHC","#aec7e8"
"51","PATHWAY_GLYCOLYSIS_TCA_GLYOX_BYPASS._superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass","None","#c7c7c7"
